name,iso_code,arabic_name,english_name
Qafár af,aa,عفري,Afar
Afrikaans,af,أفريقاني,Afrikanns
Akan,ak,أكاني,Akan
አማርኛ,am,أمهري,Amharic
عربي,ar,عربي,Arabic
অসমীয়া,as,آسامي,Assamese
авар мацӀ,av,أواري,Avar
Azərbaycanca,az,أذري,Azerbaijani
بلوشي,bal,بلوشي,Balochi
Български,bg,بلغاري,Bulgarian
براهوئي,brh,براهوئي,Brahui
Bamanankan,bm,بامبارا,Bambara
বাংলা,bn,بنغالي,Bengali
Bosanski,bs,بوسني,Bosnian
كتالاني,ca,كتالاني,Catalan
Нохчий,ce,شيشاني,Chechen
Česky,cs,تشيكي,Czech
Dansk,da,دنماركي,Danish
Deutsch,de,ألماني,German
ދިވެހި ބަސް,dv,ديفهي,Dhivehi
Ελληνικά,el,يوناني,Greek
English,en,إنجليزي,English
Español,es,إسباني,Spanish
إستوني,et,إستوني,Estonian
فارسی,fa,فارسي,Persian
Fulfulde,ff,فولاني,Fula
Suomi,fi,فنلندي,Finnish
Français,fr,فرنسي,French
ગુજરાતી,gu,غوجاراتي,Gujrati
Hausa,ha,هوسا,Hausa
عبري,he,عبري,Hebrew
हिन्दी,hi,هندي,Hindi
Magyar,hu,هنجاري (مجري),Hungarian
Հայերեն,hy,أرميني,Armenian
Indonesia,id,إندونيسي,Indonesian
Íslenska,is,آيسلندي,Icelandic
Italiano,it,إيطالي,Italian
日本語,ja,ياباني,Japanese
ქართული,ka,جورجي,Georgian
Қазақша,kk,كازاخي,Kazakh
ភាសាខ្មែរ,km,خميري,Khmer
ಕನ್ನಡ,kn,كنادي,Kannada
한국어,ko,كوري,Korean
كشميري,ks,كشميري,Kashmiri
كوردی سۆرانی,ku,كردي,kurdish
Kyrgyz,ky,قرغيزي,Kyrgyz
Luganda,lg,لوغندي,Luganda
lietuvių,lt,ليتواني,Lithuanian
latviešu,lv,لاتفي,Latvian
Malagasy,mg,ملاغاشي,⁠⁠⁠Malagasy
Македонски,mk,مقدوني,Macedonian
മലയാളം,ml,مليالم (مليباري),Malayalam
Монгол,mn,منغولي,Mangolian
मराठी,mr,ماراثي,Marathi
Bahasa Melayu,ms,ملايو,Malay
မြန်မာဘာသာ,my,بورمي,Burmese
नेपाली,ne,نيبالي,Nepali
Nederlands,nl,هولندي,Dutch
chiCheŵa,ny,شيشيوا (نيانجا),Chewa
oromoo,om,أورومي,Oromo
Polski,pl,بولندي,Polish
پښتو,ps,بشتو,Pashto
Portuguese,pt,برتغالي,Portuguese
Română,ro,روماني,Romanian
Русский,ru,روسي,Russian
Ikinyarwanda,rw,كينيارواندا (رواندا),Kinyarwanda
سندي,sd,سندي,Sindhi
sängö,sg,سانجو,Sango
සිංහල,si,سنهالي,Sinhala
Slovenčina,sk,سلوفاكي,Slovak
Slovenščina,sl,سلوفيني,Slovenian
Soomaaliga,so,صومالي,Somali
Shqip,sq,ألباني,Albanian
Српски,sr,صربي,Serbian
Svenska,sv,سويدي,Swedish
Kiswahili,sw,سواحيلي,Swahili
தமிழ்,ta,تاميلي,Tamil
తెలుగు,te,تلقو (تلغو),Telugu
Тоҷикӣ,tg,طاجيكي,Tajik
ไทย,th,تايلندي,Thai
ትግረኛ,ti,تجريني,Tigrinya
Türkmen,tk,تركماني,Turkmen
Tagalog,tl,فلبيني تجالوج,Tagalog
Türkçe,tr,تركي,Turkish
Татарча,tt,تتاري,Tatar
ئۇيغۇرچە,ug,أيغوري,Uyghur
Ukrainian,uk,أوكراني,Ukrainian
اردو,ur,أردو,Urdu
Ўзбек,uz,أوزبكي,Uzbek
Việt Nam,vi,فيتنامي,Vietnamese
Wolof,wo,ولوف,Wolof
isiXhosa,xh,خوسي,Xhosa
Yorùbá,yo,يوربا,Yoruba
中文,zh,صيني,Chinese
زولو,zu,زولو,Zulu
أمازيغي,ber,أمازيغي,Tamazight
أنكو,nqo,أنكو,NKo
ГӀалгӀай,inh,انغوشي,Ingush
Bassa,bas,باسا,Bassa
Cham,cja,تشامي,Cham
Jóola,dyo,جولا,Jola
Soninke,snk,سوننكي,Soninke
Адыгэбзэ,kbd,شركسي,Circassian
أمازيغي طوارقي,tmh,طارقي,Tuareg
غجري,rom,غجري,Romani
غموقي,kum,غموقي,Kumyk
فارسی دری,prs,فارسي دري,Dari
إيرانوني,ilp,فلبيني إيرانوني,Iranun
Maguindanaon,mdh,فلبيني مقندناو,Maguindanaon
قمري,swb,قمري,Comorian
كوردي kurmancî,kmr,كرمنجي,Kurmanji
Lingala,ln,لينغالا,Lingala
Mandinka,mnk,مندنكا,Mandinka
Mõõré,mos,موري (موسي),Moore
Norwegian,no,نرويجي,Norwegian
Yao,yao,ياؤو,Yao
Sesotho,st,سوتي,Sotho
Hrvatski,hr,كرواتي,Croatian
ລາວ,lo,لاو,Lao
Ikirundi,rn,كيروندي (بوروندي),Kirundi
Dagbani,dag,دغباني,Dagbani
Zarma,dje,زارما (زرمة),Zarma
Ife,ife,إيفي,Ife
Tem,kdh,تيم,Tem
ਪੰਜਾਬੀ,pa,بنجابي,Punjabi
ଓଡ଼ିଆ,or,أوري,Odia
Bisaya,ceb,بيسايا (بينيسايا),Cebuano
संताली,sat,سنتالي,Santali
Rohingya,rhg,روهنجي,Rohingya
Uzbek (latin),uzb,أوزبكي (لاتيني),Uzbek
Kikuyu,ki,كيكويو,Kikuyu
qırımtatar tili,crh,القرمية (التتارية),Crimean Tatar
Creole,mfe,كريولي (موريشي),Mauritian Creole
Maori,mi,ماوري,Maori
Dzongkha,dz,دزونكا,Dzongkha
Shona,sn,شونا,Shona
Luhya,luy,لوهيا,Luhya
Quechuan,qu,كتشوا,Quechuan
Aymara,ay,أيمري,Aymara
Fon,fon,فون,Fon
Mende,men,ميندي,Mende
Igbo,ig,إيجبو,Igbo
Беларуская,be,بيلاروسي,Belarusian
Dendi,ddn,دندي,Dendi
Kreyòl ayisyen,ht,كريولي (هايتي),Haitian Creole
Bemba,bem,بيمبا,Bemba
Lëtzebuergesch,lb,لوكسمبورغ,Luxembourgish
